job_title,company,jobtype,region,working_Exp,edu_level,salary
數據分析師,"倍特系統整合有限公司
                    ",電腦系統整合服務業,新北市新莊區,2年以上,專科,"月薪40,000~60,000元"
營運數據分析師,"蘋果樹醫美診所
                    ",診所,台北市松山區,1年以上,大學,"月薪30,000~60,000元"
行銷數據分析師 Marketing Data Analysts,"以沛有限公司
                    ",廣告行銷公關業,台北市松山區,3年以上,大學,"月薪38,000~55,000元"
數據分析師_Data Analyst_PaGamO,"英屬維京群島商幫你優股份有限公司台灣分公司
                    ",電腦軟體服務業,台北市中正區,1年以上,大學,"年薪700,000~900,000元"
數據分析師,"大數據股份有限公司
                    ",其它軟體及網路相關業,台北市中山區,經歷不拘,大學,"月薪35,000~50,000元"
Business Analyst / 數據分析師,"瑞嘉軟體科技股份有限公司
                    ",電腦軟體服務業,台北市內湖區,1年以上,大學,"月薪42,000~83,740元"
數據分析師,"中佑資訊有限公司
                    ",網際網路相關業,台中市西屯區,經歷不拘,大學,"月薪35,000~45,000元"
數據分析師 Data Analyst,"悍創運動行銷股份有限公司
                    ",運動服務業,新竹縣竹北市,經歷不拘,大學,"月薪35,000~50,000元"
C111102-數據分析師,"旺矽科技股份有限公司
                    ",半導體製造業,新竹縣竹北市,經歷不拘,大學,"月薪28,000~60,000元"
【研發中心】數據分析師 (工作地點:泰國曼谷),"Millennium Star Trading L.L.C
                    ",網際網路相關業,東南亞,經歷不拘,大學,"月薪120,000~200,000元"
數據分析師,"薇客有限公司
                    ",工商顧問服務業,台北市中山區,2年以上,專科,"月薪50,000元以上"
大數據分析人員,"華南產物保險股份有限公司
                    ",產物保險業,台北市信義區,經歷不拘,大學,"月薪30,000~39,000元"
數據分析師(學士),"弈樂科技股份有限公司
                    ",網際網路相關業,台中市西屯區,經歷不拘,大學,"月薪35,000~60,000元"
商業數據分析師 Business Intelligence Analyst,"曙客股份有限公司
                    ",其它軟體及網路相關業,台北市松山區,3年以上,大學,"年薪630,000~840,000元"
數據分析師,"英屬維京群島商嘉碼科技有限公司台灣分公司
                    ",電腦系統整合服務業,台中市西屯區,1年以上,大學,"月薪40,000~60,000元"
(高階)數據分析師 Data Analyst／Data Scientist,"構思網路科技有限公司
                    ",網際網路相關業,台北市大安區,5年以上,大學,"年薪1,300,000~1,500,000元"
數據分析工程師 D2,"朝駿科技有限公司
                    ",網際網路相關業,台中市西屯區,1年以上,專科,"月薪50,000~65,000元"
D429 產業研究分析師/ 數據分析師(可遠端工作),"台灣大哥大股份有限公司
                    ",電信相關業,台北市信義區,3年以上,學歷不拘,"月薪31,000~53,000元"
