job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
數據分析師,倍特系統整合有限公司                    ,電腦系統整合服務業,新北市,2年以上,專科,"月薪40,000~60,000元",40000~60000,60000.0,40000.0,50000.0
營運數據分析師,蘋果樹醫美診所                    ,診所,台北市,1年以上,大學,"月薪30,000~60,000元",30000~60000,60000.0,30000.0,45000.0
行銷數據分析師 Marketing Data Analysts,以沛有限公司                    ,廣告行銷公關業,台北市,3年以上,大學,"月薪38,000~55,000元",38000~55000,55000.0,38000.0,46500.0
數據分析師_Data Analyst_PaGamO,英屬維京群島商幫你優股份有限公司台灣分公司                    ,電腦軟體服務業,台北市,1年以上,大學,"年薪700,000~900,000元",700000~900000,75000.0,58333.333333333336,66666.66666666667
數據分析師,大數據股份有限公司                    ,其它軟體及網路相關業,台北市,經歷不拘,大學,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
Business Analyst / 數據分析師,瑞嘉軟體科技股份有限公司                    ,電腦軟體服務業,台北市,1年以上,大學,"月薪42,000~83,740元",42000~83740,83740.0,42000.0,62870.0
數據分析師,中佑資訊有限公司                    ,網際網路相關業,台中市,經歷不拘,大學,"月薪35,000~45,000元",35000~45000,45000.0,35000.0,40000.0
數據分析師 Data Analyst,悍創運動行銷股份有限公司                    ,運動服務業,新竹縣,經歷不拘,大學,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
C111102-數據分析師,旺矽科技股份有限公司                    ,半導體製造業,新竹縣,經歷不拘,大學,"月薪28,000~60,000元",28000~60000,60000.0,28000.0,44000.0
數據分析師,薇客有限公司                    ,工商顧問服務業,台北市,2年以上,專科,"月薪50,000元以上",50000以上,50000.0,50000.0,50000.0
大數據分析人員,華南產物保險股份有限公司                    ,產物保險業,台北市,經歷不拘,大學,"月薪30,000~39,000元",30000~39000,39000.0,30000.0,34500.0
數據分析師(學士),弈樂科技股份有限公司                    ,網際網路相關業,台中市,經歷不拘,大學,"月薪35,000~60,000元",35000~60000,60000.0,35000.0,47500.0
商業數據分析師 Business Intelligence Analyst,曙客股份有限公司                    ,其它軟體及網路相關業,台北市,3年以上,大學,"年薪630,000~840,000元",630000~840000,70000.0,52500.0,61250.0
數據分析師,英屬維京群島商嘉碼科技有限公司台灣分公司                    ,電腦系統整合服務業,台中市,1年以上,大學,"月薪40,000~60,000元",40000~60000,60000.0,40000.0,50000.0
(高階)數據分析師 Data Analyst／Data Scientist,構思網路科技有限公司                    ,網際網路相關業,台北市,5年以上,大學,"年薪1,300,000~1,500,000元",1300000~1500000,125000.0,108333.33333333333,116666.66666666666
數據分析工程師 D2,朝駿科技有限公司                    ,網際網路相關業,台中市,1年以上,專科,"月薪50,000~65,000元",50000~65000,65000.0,50000.0,57500.0
D429 產業研究分析師/ 數據分析師(可遠端工作),台灣大哥大股份有限公司                    ,電信相關業,台北市,3年以上,學歷不拘,"月薪31,000~53,000元",31000~53000,53000.0,31000.0,42000.0
數據師、大數據分析師(臺北市信義區),鼎漢國際工程顧問股份有限公司                    ,其他專業／科學及技術業,台北市,經歷不拘,大學,"月薪30,000~50,000元",30000~50000,50000.0,30000.0,40000.0
遊戲數據分析師,傳奇網路遊戲股份有限公司                    ,網際網路相關業,台北市,經歷不拘,高中,"月薪40,000~60,000元",40000~60000,60000.0,40000.0,50000.0
數據分析人員(總公司),玉山綜合證券股份有限公司,證券及期貨業,台北市,1年以上,大學,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
