job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
數據分析師,大數據股份有限公司                    ,其它軟體及網路相關業,台北市中山區,經歷不拘,大學,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
數據分析人員,(總公司)南山人壽保險股份有限公司                    ,人身保險業,台北市信義區,1年以上,碩士,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師,薇客有限公司                    ,工商顧問服務業,台北市中山區,2年以上,專科,"月薪50,000元以上",50000以上,50000.0,50000.0,50000.0
數據分析師,倍特系統整合有限公司                    ,電腦系統整合服務業,新北市新莊區,2年以上,專科,"月薪40,000~60,000元",40000~60000,60000.0,40000.0,50000.0
數據分析師,台北神策諮詢顧問有限公司                    ,電子通訊／電腦週邊批發業,台北市中山區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師 Data Analyst,果實夥伴股份有限公司                    ,網際網路相關業,台北市內湖區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
C111102-數據分析師,旺矽科技股份有限公司                    ,半導體製造業,新竹縣竹北市,經歷不拘,大學,"月薪28,000~60,000元",28000~60000,60000.0,28000.0,44000.0
icash數據分析專員,愛金卡股份有限公司                    ,其他金融及輔助業,台北市內湖區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師.,永慶房產集團_永慶房屋仲介股份有限公司                    ,不動產經營業,台北市大安區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
大數據分析專員,(總公司)南山人壽保險股份有限公司                    ,人身保險業,台北市信義區,3年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師 - PhotoGrid,樂欣國際股份有限公司                    ,電腦軟體服務業,台北市中正區,2年以上,大學,"月薪50,000~60,000元",50000~60000,60000.0,50000.0,55000.0
數據分析師 D31,永慶房產集團_永慶房屋仲介股份有限公司                    ,不動產經營業,台北市大安區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
Business Analyst / 數據分析師,瑞嘉軟體科技股份有限公司                    ,電腦軟體服務業,台北市內湖區,1年以上,大學,"月薪42,000~83,740元",42000~83740,83740.0,42000.0,62870.0
數據分析師 H31,永慶房產集團_永慶房屋仲介股份有限公司                    ,不動產經營業,台北市大安區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師 B31,永慶房產集團_永慶房屋仲介股份有限公司                    ,不動產經營業,台北市大安區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師 E31,永慶房產集團_永慶房屋仲介股份有限公司                    ,不動產經營業,台北市大安區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析專案經(副)理主任/專員,(總公司)南山人壽保險股份有限公司                    ,人身保險業,台北市信義區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師 G31,永慶房產集團_永慶房屋仲介股份有限公司                    ,不動產經營業,台北市大安區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師 C31,永慶房產集團_永慶房屋仲介股份有限公司                    ,不動產經營業,台北市大安區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
運動數據分析 影像處理工程師 image recognition ,球據智能運動數據分析有限公司                    ,電腦軟體服務業,新北市中和區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師,中佑資訊有限公司,網際網路相關業,台中市西屯區,經歷不拘,大學,"月薪35,000~45,000元",35000~45000,45000.0,35000.0,40000.0
數據分析師,弈樂科技股份有限公司,網際網路相關業,台中市西屯區,經歷不拘,碩士,"月薪32,000~60,000元",32000~60000,60000.0,32000.0,46000.0
數據分析師,英屬維京群島商嘉碼科技有限公司台灣分公司,電腦系統整合服務業,台中市西屯區,1年以上,大學,"月薪40,000~60,000元",40000~60000,60000.0,40000.0,50000.0
數據分析師,Royce Tech Ltd,電腦軟體服務業,義大利,1年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
實習生(研究生)_數據分析專員,析數智匯股份有限公司,電腦軟體服務業,台北市內湖區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
學生實習 運動數據分析 影像處理工程師 Machine Learning,球據智能運動數據分析有限公司,電腦軟體服務業,新北市中和區,經歷不拘,大學,時薪180元以上,180以上,28800.0,28800.0,28800.0
數據分析師,台灣翔登股份有限公司,電力機械器材製造修配業,苗栗縣銅鑼鄉,3年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師(視訊面談),DIGITIMES INC._大椽股份有限公司,工商顧問服務業,台北市松山區,3年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數據分析師,立炘數位行銷有限公司,廣告行銷公關業,台北市中山區,2年以上,大學,"月薪36,000~45,000元",36000~45000,45000.0,36000.0,40500.0
數據分析師,全盈支付金融科技股份有限公司,其他金融及輔助業,台北市中山區,3年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
